device=cpu actor_params=10242
[mappo iter   1825] train 0.6082 | val 0.6353+-0.0462 | tau 0.54 | 1672s
[mappo iter   1850] train 0.6135 | val 0.6267+-0.0433 | tau 0.54 | 1693s
[mappo iter   1875] train 0.6061 | val 0.6401+-0.0399 | tau 0.53 | 1715s
[mappo iter   1900] train 0.6098 | val 0.6428+-0.0413 | tau 0.53 | 1737s
[mappo iter   1925] train 0.6100 | val 0.6309+-0.0432 | tau 0.52 | 1758s
[mappo iter   1950] train 0.6055 | val 0.6326+-0.0446 | tau 0.51 | 1779s
[mappo iter   1975] train 0.6057 | val 0.6230+-0.0395 | tau 0.51 | 1800s
[mappo iter   2000] train 0.6037 | val 0.6259+-0.0478 | tau 0.50 | 1823s
[mappo iter   2025] train 0.6072 | val 0.6367+-0.0353 | tau 0.50 | 1845s
[mappo iter   2050] train 0.6108 | val 0.6405+-0.0360 | tau 0.50 | 1867s
[mappo iter   2075] train 0.6058 | val 0.6318+-0.0366 | tau 0.50 | 1888s
[mappo iter   2100] train 0.6071 | val 0.6268+-0.0481 | tau 0.50 | 1911s
[mappo iter   2125] train 0.6050 | val 0.6316+-0.0386 | tau 0.50 | 1932s
[mappo iter   2150] train 0.6072 | val 0.6285+-0.0493 | tau 0.50 | 1953s
[mappo iter   2175] train 0.6081 | val 0.6373+-0.0393 | tau 0.50 | 1974s
[mappo iter   2200] train 0.6092 | val 0.6373+-0.0397 | tau 0.50 | 1996s
[mappo iter   2225] train 0.6063 | val 0.6363+-0.0345 | tau 0.50 | 2017s
[mappo iter   2250] train 0.6049 | val 0.6310+-0.0372 | tau 0.50 | 2038s
[mappo iter   2275] train 0.6067 | val 0.6397+-0.0345 | tau 0.50 | 2058s
[mappo iter   2300] train 0.6033 | val 0.6370+-0.0398 | tau 0.50 | 2078s
[mappo iter   2325] train 0.6059 | val 0.6373+-0.0393 | tau 0.50 | 2098s
[mappo iter   2350] train 0.6069 | val 0.6369+-0.0356 | tau 0.50 | 2118s
[mappo iter   2375] train 0.6078 | val 0.6318+-0.0366 | tau 0.50 | 2138s
[mappo iter   2400] train 0.6024 | val 0.6304+-0.0367 | tau 0.50 | 2158s
[mappo iter   2425] train 0.6026 | val 0.6334+-0.0394 | tau 0.50 | 2178s
[mappo iter   2450] train 0.6055 | val 0.6325+-0.0380 | tau 0.50 | 2199s
[mappo iter   2475] train 0.6064 | val 0.6364+-0.0283 | tau 0.50 | 2219s
[mappo iter   2500] train 0.6067 | val 0.6328+-0.0308 | tau 0.50 | 2239s
[mappo iter   2525] train 0.6070 | val 0.6424+-0.0361 | tau 0.50 | 2259s
[mappo iter   2550] train 0.6052 | val 0.6325+-0.0380 | tau 0.50 | 2280s
[mappo iter   2575] train 0.6036 | val 0.6277+-0.0348 | tau 0.50 | 2300s
[mappo iter   2600] train 0.6050 | val 0.6321+-0.0390 | tau 0.50 | 2321s
[mappo iter   2625] train 0.6038 | val 0.6354+-0.0349 | tau 0.50 | 2341s
[mappo iter   2650] train 0.6003 | val 0.6368+-0.0359 | tau 0.50 | 2361s
[mappo iter   2675] train 0.6062 | val 0.6389+-0.0392 | tau 0.50 | 2380s
[mappo iter   2700] train 0.5988 | val 0.6387+-0.0298 | tau 0.50 | 2400s
[mappo iter   2725] train 0.6007 | val 0.6296+-0.0357 | tau 0.50 | 2420s
[mappo iter   2750] train 0.6077 | val 0.6391+-0.0433 | tau 0.50 | 2440s
[mappo iter   2775] train 0.6035 | val 0.6283+-0.0367 | tau 0.50 | 2460s
[mappo iter   2800] train 0.6045 | val 0.6437+-0.0286 | tau 0.50 | 2480s
[mappo iter   2825] train 0.6054 | val 0.6338+-0.0343 | tau 0.50 | 2499s
[mappo iter   2850] train 0.6021 | val 0.6321+-0.0341 | tau 0.50 | 2519s
[mappo iter   2875] train 0.6073 | val 0.6281+-0.0329 | tau 0.50 | 2539s
[mappo iter   2900] train 0.6016 | val 0.6291+-0.0346 | tau 0.50 | 2559s
[mappo iter   2925] train 0.5976 | val 0.6283+-0.0367 | tau 0.50 | 2580s
[mappo iter   2950] train 0.6016 | val 0.6360+-0.0378 | tau 0.50 | 2600s
[mappo iter   2975] train 0.6003 | val 0.6339+-0.0339 | tau 0.50 | 2619s
[mappo iter   3000] train 0.6023 | val 0.6437+-0.0286 | tau 0.50 | 2639s
mappo training done: iters_done | best val 0.6227 | wall 2639s
